timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762301841045434255,SimpleMarketMaker,294973,SELL,6789.25,1,0.00,2.17
1762301848294405641,SimpleMarketMaker,294973,BUY,6788.25,1,50.00,2.17
1762301856669841413,SimpleMarketMaker,294973,SELL,6788.75,1,0.00,2.17
1762301879907769553,SimpleMarketMaker,294973,BUY,6789.50,1,-37.50,2.17
1762301885743565539,SimpleMarketMaker,294973,SELL,6789.50,1,0.00,2.17
1762301907819521961,SimpleMarketMaker,294973,BUY,6790.25,1,-37.50,2.17
1762301908773059253,SimpleMarketMaker,294973,SELL,6790.50,1,0.00,2.17
1762301921539071459,SimpleMarketMaker,294973,BUY,6790.75,1,-12.50,2.17
1762301930776759397,SimpleMarketMaker,294973,SELL,6791.00,1,0.00,2.17
1762301940325420481,SimpleMarketMaker,294973,BUY,6791.00,1,0.00,2.17
1762301952751570393,SimpleMarketMaker,294973,SELL,6790.50,1,0.00,2.17
1762301959675995109,SimpleMarketMaker,294973,BUY,6790.50,1,0.00,2.17
1762301995605078215,SimpleMarketMaker,294973,SELL,6789.50,1,0.00,2.17
1762302002594963509,SimpleMarketMaker,294973,BUY,6789.00,1,25.00,2.17
1762302011058070721,SimpleMarketMaker,294973,SELL,6789.50,1,0.00,2.17
1762302050984044745,SimpleMarketMaker,294973,BUY,6789.25,1,12.50,2.17
1762302064437923441,SimpleMarketMaker,294973,SELL,6789.50,1,0.00,2.17
1762302081695971163,SimpleMarketMaker,294973,BUY,6790.50,1,-50.00,2.17
1762302084011363649,SimpleMarketMaker,294973,SELL,6790.75,1,0.00,2.17
1762302120103317785,SimpleMarketMaker,294973,BUY,6790.75,1,0.00,2.17
1762302152274130055,SimpleMarketMaker,294973,SELL,6791.25,1,0.00,2.17
1762302170922236291,SimpleMarketMaker,294973,BUY,6791.25,1,0.00,2.17
1762302188991525291,SimpleMarketMaker,294973,SELL,6791.75,1,0.00,2.17
1762302199412604287,SimpleMarketMaker,294973,BUY,6791.50,1,12.50,2.17
1762302206224383341,SimpleMarketMaker,294973,SELL,6791.75,1,0.00,2.17
1762302216421499973,SimpleMarketMaker,294973,BUY,6791.50,1,12.50,2.17
1762302248967439785,SimpleMarketMaker,294973,SELL,6789.25,1,0.00,2.17
1762302261390697823,SimpleMarketMaker,294973,BUY,6788.75,1,25.00,2.17
1762302287906748299,SimpleMarketMaker,294973,BUY,6787.25,1,0.00,2.17
1762302294082678509,SimpleMarketMaker,294973,SELL,6787.00,1,-12.50,2.17
1762302297474303759,SimpleMarketMaker,294973,SELL,6787.25,1,0.00,2.17
1762302300074889485,SimpleMarketMaker,294973,BUY,6787.50,1,-12.50,2.17
1762302330976853777,SimpleMarketMaker,294973,BUY,6786.50,1,0.00,2.17
1762302331915361131,SimpleMarketMaker,294973,SELL,6786.75,1,12.50,2.17
1762302354582607401,SimpleMarketMaker,294973,SELL,6785.50,1,0.00,2.17
1762302358254898737,SimpleMarketMaker,294973,BUY,6784.75,1,37.50,2.17
1762302365543370723,SimpleMarketMaker,294973,SELL,6784.25,1,0.00,2.17
1762302369667080961,SimpleMarketMaker,294973,BUY,6784.00,1,12.50,2.17
1762302376639801249,SimpleMarketMaker,294973,BUY,6783.00,1,0.00,2.17
1762302378785213761,SimpleMarketMaker,294973,SELL,6782.75,1,-12.50,2.17
1762302398355314439,SimpleMarketMaker,294973,SELL,6783.25,1,0.00,2.17
1762302424036765031,SimpleMarketMaker,294973,BUY,6784.00,1,-37.50,2.17
1762302426666575595,SimpleMarketMaker,294973,SELL,6784.50,1,0.00,2.17
1762302434220461519,SimpleMarketMaker,294973,BUY,6784.00,1,25.00,2.17
1762302449708848783,SimpleMarketMaker,294973,SELL,6783.50,1,0.00,2.17
1762302453676704061,SimpleMarketMaker,294973,BUY,6783.00,1,25.00,2.17
1762302470315799253,SimpleMarketMaker,294973,SELL,6783.00,1,0.00,2.17
1762302479044087395,SimpleMarketMaker,294973,BUY,6783.00,1,0.00,2.17
1762302480955267647,SimpleMarketMaker,294973,SELL,6783.25,1,0.00,2.17
1762302483322785419,SimpleMarketMaker,294973,BUY,6783.00,1,12.50,2.17
1762302486555201159,SimpleMarketMaker,294973,BUY,6782.25,1,0.00,2.17
1762302486806446947,SimpleMarketMaker,294973,SELL,6782.50,1,12.50,2.17
1762302505587067943,SimpleMarketMaker,294973,SELL,6782.50,1,0.00,2.17
1762302516901584365,SimpleMarketMaker,294973,BUY,6782.75,1,-12.50,2.17
1762302520480285765,SimpleMarketMaker,294973,SELL,6783.00,1,0.00,2.17
1762302524829013751,SimpleMarketMaker,294973,BUY,6782.75,1,12.50,2.17
1762302552825204129,SimpleMarketMaker,294973,SELL,6782.75,1,0.00,2.17
1762302580084293049,SimpleMarketMaker,294973,BUY,6783.50,1,-37.50,2.17
1762302600191613735,SimpleMarketMaker,294973,SELL,6783.25,1,0.00,2.17
1762302604178152169,SimpleMarketMaker,294973,BUY,6782.75,1,25.00,2.17
1762302614083653073,SimpleMarketMaker,294973,SELL,6782.25,1,0.00,2.17
1762302621283125631,SimpleMarketMaker,294973,BUY,6781.75,1,25.00,2.17
1762302632713785553,SimpleMarketMaker,294973,SELL,6782.00,1,0.00,2.17
1762302643137252477,SimpleMarketMaker,294973,BUY,6781.75,1,12.50,2.17
1762302647394724521,SimpleMarketMaker,294973,SELL,6781.50,1,0.00,2.17
1762302667891332255,SimpleMarketMaker,294973,BUY,6781.25,1,12.50,2.17
1762302670040198201,SimpleMarketMaker,294973,BUY,6780.75,1,0.00,2.17
1762302670586658385,SimpleMarketMaker,294973,SELL,6778.75,1,-100.00,2.17
1762302670968899595,SimpleMarketMaker,294973,SELL,6779.00,1,0.00,2.17
1762302671771270395,SimpleMarketMaker,294973,BUY,6778.25,1,37.50,2.17
